Company Name,Website,Country,Industry,Contact Page,Company Services,Contact Form,Lead Quality,website_exists,contact_form,services_count,about_word_count,country_score,lead_quality_score
Bursys,https://www.bursys.com/,United States,SaaS,Yes,"Technology Consulting, Custom Software Development & System Integration",Yes,High,1,1,8,71,3,3
Software Advice,https://www.softwareadvice.com/,United States,SaaS,Yes,Just a moment...,No,High,1,0,3,16,3,3
Syberry Corporation,https://www.syberry.com/,United States,Web Development,Yes,Syberry | Custom Software Development Company,Yes,High,1,1,6,45,3,3
10com Web Development,https://www.10comwebdevelopment.com/,United States,Web Development,Yes,"Chicago Web Design, SEO & Digital Marketing Agency | 10com",Yes,High,1,1,10,58,3,3
Flamingo Agency,https://www.flamingoagency.com/,United States,Web Development,Yes,Chicago Web Design Agency | Small Business Website Designer,Yes,High,1,1,9,59,3,3
MAXBURST Inc,https://www.maxburst.com/,United States,Web Development,Yes,"Web Design Company for Manufacturing, Aerospace, Engineering & B2B Industrial",Yes,High,1,1,10,77,3,3
United of Web,https://unitedofweb.com/,United States,Web Development,Yes,High-Performance Web Design & Development NYC · United Of Web,Yes,High,1,1,10,61,3,3
ThinKASA,https://www.thinkasa.com/,United States,Web Development,Yes,Technology company,Yes,High,1,1,2,18,3,3
DD.NYC,https://dd.nyc/,United States,Web Development,Yes,Award-Winning Digital Design Agency in New York | DD.NYC®,Yes,High,1,1,9,57,3,3
e9digital,https://e9digital.com/,United States,Web Development,Yes,New York Web Design Agency | e9digital (NYC),Yes,High,1,1,8,44,3,3
Big Drop Inc,https://www.bigdropinc.com/,United States,Web Development,Yes,Just a moment...,No,High,1,0,3,16,3,3
RJP.design,http://rjp.design/,United States,Web Development,Yes,Top Web Design Agency & Digital Marketing | NYC | RJP design,Yes,High,1,1,12,60,3,3
Orbit Media Studios,https://www.orbitmedia.com/,United States,Web Development,Yes,Just a moment...,No,High,1,0,3,16,3,3
Comrade Digital Marketing,https://comradeweb.com/,United States,Web Development,Yes,Attention Required! | Cloudflare,No,High,1,0,4,32,3,3
Trango Tech,https://trangotech.com/,United States,Mobile App Development,Yes,Trango Tech | Driving Change Through Technology,No,High,1,0,7,47,3,3
Unified Infotech,https://www.unifiedinfotech.net/,United States,Software Development,Yes,Unified Infotech: Global Digital Transformation Partner,Yes,High,1,1,6,55,3,3
Zimble Code,https://www.zimblecode.com/,United States,Mobile App Development,Yes,Zimble Code: Top Web And Mobile App Development Company,Yes,High,1,1,9,55,3,3
TekRevol,https://www.tekrevol.com/,United States,Mobile App Development,Yes,Digital Transformation Company | TekRevol,Yes,High,1,1,5,41,3,3
WebSenor,https://www.websenor.com/,United States,Mobile App Development,Yes,Website analysis pending,Yes,High,1,1,3,24,3,3
Griffon Webstudios,https://griffonwebstudios.com/,United States,Web Development,Yes,Top Digital Marketing & Web Development Services In NYC,Yes,High,1,1,9,55,3,3
Lunarvision Web Design,https://www.webocreators.com/,United States,Web Development,Yes,Webo Creators | Best Website Design | SEO | Google Ads Agency,Yes,High,1,1,12,61,3,3
Let's Start Design,https://www.letsstartdesign.com/,United States,Web Development,Yes,Wix Expert Website Design & Training | New York | Let's Start Design,No,High,1,0,13,68,3,3
